time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1774071863306,download,100000,409.30000019073486,810586.9278944302,989.9000000953674,-1,100300,477.90000009536743
1774071872669,download,100000,600,816276.7039674466,983,-1,100300,423.40000009536743
1774071873283,download,100000,407.30000019073486,1336442.371539885,600.4000000953674,-1,100300,431.5 431
1774071873889,download,100000,401.19999980926514,1350387.0754923692,594.1999998092651,-1,100300,441.5
1774071874504,download,100000,409.6000003814697,1330459.2928079425,603.1000003814697,-1,100300,434.5
1774071875154,download,100000,444.90000009536743,1257089.1426605503,638.3000001907349,-1,100300,431
1774071875770,download,100000,405.90000009536743,1339342.3460008036,599.1000003814697,-1,100300,425.90000009536743
1774071876397,download,100000,430.1000003814697,1304927.6303066392,614.9000000953674,-1,100300,450.1000003814697
1774071877527,download,100000,440.59999990463257,801358.2341427675,1001.3000001907349,-1,100300,417.2000002861023 403.40000009536743
1774071878119,download,100000,389.90000009536743,1392088.826973005,576.4000000953674,-1,100300,405.2000002861023
1774071879096,download,1000000,397.5,8291783.235717299,965.0999999046326,-1,1000300,400.09999990463257
1774071879723,download,1000000,411.40000009536743,13033224.755700326,614,-1,1000300,398.5
1774071880324,download,1000000,398.69999980926514,13581805.842821661,589.1999998092651,-1,1000300,417.09999990463257
1774071880940,download,1000000,412.30000019073486,13277584.208615394,602.6999998092651,-1,1000300,684.3000001907349
1774071881542,download,1000000,399.5,13574893.977947412,589.5,-1,1000300,416.90000009536743
1774071882147,download,1000000,403.09999990463257,13515284.58248424,592.0999999046326,-1,1000300,406.09999990463257
1774071882743,download,1000000,394.69999980926514,13719183.960097875,583.2999997138977,-1,1000300,399.90000009536743 408.69999980926514
1774071883342,download,1000000,401.2000002861023,13621106.382978722,587.5,-1,1000300,453.90000009536743
1774071883906,upload,100000,550.7000002861023,1433921.8826284136,560.7000002861023,-1,369,401.90000009536743
1774071884287,upload,100000,367,2132625.99469496,377,-1,369,
1774071884687,upload,100000,382.40000009536743,2048929.6631105982,392.40000009536743,-1,370,465.5
1774071885081,upload,100000,381,2056265.9846547311,391,-1,369,394.30000019073486
1774071885485,upload,100000,391.19999980926514,2003988.0368450405,401.19999980926514,-1,371,420.2999997138977
1774071885872,upload,100000,375.1000003814697,2087769.4084746274,385.1000003814697,-1,369,
1774071886074,upload,100000,188.39999961853027,4052419.3626304194,198.39999961853027,-1,369,
1774071886818,upload,100000,587.6000003814697,1345381.5252456116,597.6000003814697,-1,369,392.90000009536743 413
1774071888079,upload,1000000,811.3999996185303,9788166.549469063,821.3999996185303,-1,371,451.40000009536743
1774071890387,upload,1000000,2290.3999996185303,3495044.340694337,2300.3999996185303,-1,369,410.09999990463257 418.69999980926514 414.30000019073486 411.90000009536743
1774071891986,upload,1000000,1581.7000002861023,5051203.11525717,1591.7000002861023,-1,368,418.09999990463257 413.59999990463257 424.90000009536743
1774071892927,upload,1000000,924.7999997138977,8600770.220860824,934.7999997138977,-1,369,411.2999997138977 406.6000003814697
1774071893919,upload,1000000,975.7999997138977,8155812.540407177,985.7999997138977,-1,370,427.90000009536743
1774071895118,upload,1000000,1182.0999999046326,6744400.638069956,1192.0999999046326,-1,370,415.2999997138977 435.59999990463257 413.90000009536743
1774071897577,download,10000000,414.90000009536743,32736885.176264804,2443.800000190735,-1,10000300,413.2999997138977 417 423.90000009536743 423.69999980926514
1774071898921,download,10000000,415.30000019073486,60370057.33680048,1325.2000002861023,-1,10000300,421.09999990463257 428 417.6000003814697
1774071900077,download,10000000,439.80000019073486,70344148.4099032,1137.3000001907349,-1,10000300,413.6000003814697 430.80000019073486
1774071901289,download,10000000,515.9000000953674,67071093.21529779,1192.8000001907349,-1,10000300,417.19999980926514 426.40000009536743
1774071902269,download,10000000,445.09999990463257,82912633.42532162,964.9000000953674,-1,10000300,424.90000009536743 418
1774071903395,download,10000000,429.6000003814697,72204332.12996389,1108,-1,10000300,401.5 413.90000009536743
1774071912118,upload,10000000,8675.599999904633,9256700.746164085,8685.599999904633,-1,370,402 390 421.2999997138977 396.40000009536743 481.19999980926514 438.1000003814697 436.69999980926514 439.09999990463257 442.1000003814697 441.80000019073486 477.90000009536743 394.09999990463257
1774071923097,upload,10000000,10934.300000190735,7346289.849382673,10944.300000190735,-1,371,392.30000019073486 384.80000019073486 387.3999996185303 383.90000009536743 397.5 385.09999990463257 390 384.3999996185303 393.40000009536743 382.59999990463257 385.19999980926514 390.69999980926514 387 387.09999990463257 384.90000009536743 392.19999980926514 391.90000009536743 387.7999997138977 392.19999980926514 389.7000002861023 387.40000009536743
1774071931377,upload,10000000,8235.300000190735,9751009.665887248,8245.300000190735,-1,369,387.40000009536743 393.19999980926514 388.30000019073486 400.69999980926514 384 394.30000019073486 386.90000009536743 398.69999980926514 386.19999980926514 390.09999990463257 390 388.40000009536743 387.2999997138977 394.09999990463257 386.1000003814697 394.09999990463257
1774071939889,upload,10000000,8467.599999904633,9483816.174495662,8477.599999904633,-1,370,388 395.59999990463257 401.7000002861023 395.19999980926514 388.5 386.8999996185303 385.19999980926514 394.5 386.90000009536743 392.7000002861023 389.7999997138977 387.30000019073486 383.90000009536743 390.5 381.09999990463257 391.5
1774071943782,download,25000000,629,51721637.486117415,3866.9000000953674,-1,25000300,392.3999996185303 382.09999990463257 400.80000019073486 391.19999980926514 387.7999997138977 382.69999980926514
1774071946383,download,25000000,416.30000019073486,77719126.44462116,2573.4000000953674,-1,25000300,388.7999997138977 388.7000002861023 398.2999997138977 398.40000009536743 389.09999990463257
1774071949990,download,25000000,426,55743582.59558067,3587.9000000953674,-1,25000300,384.7999997138977 398 393 388.1000003814697 387 398.90000009536743 396.09999990463257
1774071956082,download,25000000,426.1000003814697,32957468.896761965,6068.5,-1,25000300,398.40000009536743 409.2999997138977 397.40000009536743 403.19999980926514 399.09999990463257 403.69999980926514 395.30000019073486 400.40000009536743 395.5 405.59999990463257
