time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1774072036020,download,100000,648.4000000953674,538162.3071763916,1491,-1,100300,615.5 595.5
1774072049379,download,100000,546.8999996185303,599342.6950787819,1338.7999997138977,-1,100300,530.8000001907349 541.0999999046326
1774072050283,download,100000,624.4000000953674,900965.6412372814,890.5999999046326,-1,100300,636.5999999046326
1774072051145,download,100000,574.2000002861023,943888.9543465666,850.0999999046326,-1,100300,539.6999998092651
1774072052308,download,100000,600.4000000953674,696830.2214502823,1151.5,-1,100300,563.0999999046326 599.2999997138977
1774072053163,download,100000,572.0999999046326,952290.5294218105,842.5999999046326,-1,100300,541.5999999046326
1774072054063,download,100000,635.3999996185303,904520.3472959776,887.0999999046326,-1,100300,552.4000000953674
1774072054895,download,100000,556.3000001907349,981049.0278841421,817.9000000953674,-1,100300,582.3000001907349 565.1999998092651
1774072055826,download,100000,652.9000000953674,873122.9597388465,919,-1,100300,662.9000000953674
1774072057045,download,100000,667.7000002861023,665395.1405062965,1205.9000000953674,-1,100300,585.5
1774072060038,download,1000000,555,2686541.108279241,2978.7000002861023,-1,1000300,566 577.5999999046326 592.7000002861023 558.5
1774072062841,download,1000000,550.7999997138977,2867935.3477477417,2790.2999997138977,-1,1000300,543.8999996185303 578.9000000953674 589.0999999046326 588.5999999046326
1774072065702,download,1000000,600,2809732.8044197736,2848.0999999046326,-1,1000300,591.3999996185303 594.6000003814697 601.9000000953674 558.5999999046326
1774072069076,download,1000000,594.5,2899210.2018587524,2760.2000002861023,-1,1000300,592.9000000953674 615.0999999046326 595.7999997138977 709
1774072071277,download,1000000,558.9000000953674,3656735.514371809,2188.4000000953674,-1,1000300,641.0999999046326 563 576.4000000953674
1774072073124,download,1000000,536.6000003814697,4364310.64481629,1833.6000003814697,-1,1000300,554.1999998092651 289.7000002861023 556.5999999046326
1774072074722,download,1000000,552.2000002861023,5047240.618101546,1585.5,-1,1000300,550.5999999046326 569.8000001907349
1774072076500,download,1000000,594.5,4578032.0366132725,1748,-1,1000300,568.2999997138977 596.8999996185303 568.5999999046326
1774072076782,upload,100000,266.80000019073486,2904624.2754551545,276.80000019073486,-1,369,
1774072078059,upload,100000,864.2999997138977,919592.8174117551,874.2999997138977,-1,370,566.1999998092651
1774072078637,upload,100000,565,1398260.8695652173,575,-1,369,614.5999999046326
1774072078934,upload,100000,284.40000009536743,2730978.2599848965,294.40000009536743,-1,369,612.0999999046326
1774072079245,upload,100000,297.7999997138977,2612085.772408459,307.7999997138977,-1,371,
1774072079556,upload,100000,295.69999980926514,2630029.442269016,305.69999980926514,-1,371,613.7000002861023
1774072079868,upload,100000,298,2610389.61038961,308,-1,369,
1774072080177,upload,100000,295.59999990463257,2630890.0531770326,305.59999990463257,-1,369,
1774072081456,upload,1000000,646.5999999046326,12244897.960962174,656.5999999046326,-1,369,
1774072083175,upload,1000000,1701.1999998092651,4698457.223525105,1711.1999998092651,-1,371,621.9000000953674 599.2999997138977 638.7000002861023
1774072083805,upload,1000000,613.2000002861023,12901155.321420006,623.2000002861023,-1,370,631.2000002861023
1774072084457,upload,1000000,618.4000000953674,12794398.470368922,628.4000000953674,-1,370,630.5999999046326
1774072085077,upload,1000000,604.7000002861023,13079550.994400375,614.7000002861023,-1,369,
1774072085701,upload,1000000,606.1999998092651,13047711.785927707,616.1999998092651,-1,369,617.5
1774072088066,upload,10000000,2330.7000002861023,34348699.10290629,2340.7000002861023,-1,369,559.3000001907349 548.5999999046326
1774072090870,upload,10000000,2754.5999999046326,29081964.84220989,2764.5999999046326,-1,369,1894.5 516.6999998092651
1774072093719,upload,10000000,2795.4000000953674,28659014.75627962,2805.4000000953674,-1,371,530.1999998092651 580.3000001907349 570.4000000953674
1774072099373,upload,10000000,5604.200000286102,14320829.324908761,5614.200000286102,-1,368,604.4000000953674 561 556 555.1000003814697 570.3000001907349 575.9000000953674 584.8000001907349 572.4000000953674 576.0999999046326
